# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
426.0000 R_A201 500 2 6.0000 n2 n71 29 Y n2->n15->n71
426.0000 R_A188 500 2 30.0000 n1 n58 29 Y n1->n4->n58
430.0000 R_A209 500 2 5.0000 n1 n79 29 Y n1->n69->n79
440.0000 A206 1000 2 26.0000 n76 n1 29 N n76->n4->n1
441.0000 R_A177 500 2 75.0000 n2 n47 28 Y n2->n0->n47
442.0000 R_A91 500 5 139.0000 n0 n61 27 Y n0->n3->n13->n35->n36->n61
444.0000 R_A189 500 4 39.0000 n1 n59 29 Y n1->n4->n9->n12->n59
444.0000 R_A82 500 6 139.0000 n0 n52 27 Y n0->n3->n7->n8->n19->n21->n52
445.0000 R_A190 500 4 39.0000 n1 n60 29 Y n1->n4->n9->n12->n60
446.0000 R_A179 500 3 79.0000 n15 n49 28 Y n15->n2->n0->n49
447.0000 R_A99 500 2 168.0000 n0 n69 27 Y n0->n1->n69
451.0000 R_A90 500 5 194.0000 n0 n60 26 Y n0->n1->n4->n9->n12->n60
451.0000 R_A109 500 3 169.0000 n0 n79 27 Y n0->n1->n69->n79
451.0000 R_A97 500 4 193.0000 n0 n67 26 Y n0->n1->n4->n9->n67
455.0000 R_A85 500 5 149.0000 n0 n55 27 Y n0->n3->n7->n8->n19->n55
455.0000 A208 1000 2 37.0000 n78 n2 29 N n78->n0->n2
460.0000 R_A184 500 2 61.0000 n2 n54 28 Y n2->n0->n54
461.0000 A145 1000 3 169.0000 n15 n1 27 N n15->n2->n0->n1
461.0000 R_A197 500 3 38.0000 n1 n67 29 Y n1->n4->n9->n67
470.0000 A132 1000 3 204.0000 n2 n4 26 N n2->n0->n1->n4
472.0000 R_A92 500 5 155.0000 n0 n62 27 Y n0->n3->n7->n8->n14->n62
474.0000 A158 1000 3 156.0000 n28 n2 27 N n28->n1->n0->n2
474.0000 R_A106 500 3 201.0000 n0 n76 26 Y n0->n1->n4->n76
475.0000 R_A129 500 3 165.0000 n0 n99 27 Y n0->n1->n33->n99
475.0000 R_A206 500 2 35.0000 n1 n76 29 Y n1->n4->n76
477.0000 A163 1000 3 149.0000 n33 n2 27 N n33->n1->n0->n2
477.0000 A229 1000 2 17.0000 n99 n1 29 N n99->n33->n1
479.0000 R_A229 500 2 2.0000 n1 n99 29 Y n1->n33->n99
484.0000 R_A100 500 4 166.0000 n0 n70 27 Y n0->n3->n18->n65->n70
485.0000 R_A105 500 3 163.0000 n0 n75 27 Y n0->n3->n37->n75
489.0000 R_A116 500 4 206.0000 n0 n86 26 Y n0->n1->n4->n9->n86
490.0000 R_A98 500 4 167.0000 n0 n68 27 Y n0->n3->n7->n10->n68
498.0000 R_A114 500 2 169.0000 n0 n84 27 Y n0->n3->n84
499.0000 R_A102 500 4 172.0000 n0 n72 27 Y n0->n3->n7->n8->n72
502.0000 R_A107 500 5 174.0000 n0 n77 27 Y n0->n3->n18->n65->n70->n77
506.0000 R_A117 500 4 210.0000 n0 n87 26 Y n0->n1->n4->n76->n87
507.0000 R_A119 500 2 170.0000 n0 n89 27 Y n0->n1->n89
508.0000 A216 1000 3 74.0000 n86 n1 28 N n86->n9->n4->n1
509.0000 A217 1000 3 73.0000 n87 n1 28 N n87->n76->n4->n1
513.0000 A226 1000 2 59.0000 n96 n1 29 N n96->n4->n1
522.0000 R_A208 500 2 67.0000 n2 n78 28 Y n2->n0->n78
523.0000 A259 1000 2 3.0000 n29 n2 29 N n29->n15->n2
524.0000 R_A131 500 2 213.0000 n2 n1 26 Y n2->n0->n1
525.0000 A156 1000 3 211.0000 n26 n1 26 N n26->n2->n0->n1
528.0000 R_A259 500 2 5.0000 n2 n29 29 Y n2->n15->n29
535.0000 A232 1000 2 69.0000 n2 n49 28 N n2->n0->n49
539.0000 A159 1000 4 219.0000 n29 n1 26 N n29->n15->n2->n0->n1
539.0000 A262 1000 3 13.0000 n32 n33 29 N n32->n11->n1->n33
541.0000 A171 1000 3 197.0000 n41 n2 26 N n41->n1->n0->n2
542.0000 A174 1000 3 192.0000 n44 n2 26 N n44->n1->n0->n2
545.0000 A195 1000 3 153.0000 n65 n0 27 N n65->n18->n3->n0
547.0000 R_A112 500 5 201.0000 n0 n82 26 Y n0->n3->n18->n65->n70->n82
547.0000 R_A262 500 3 8.0000 n33 n32 29 Y n33->n1->n11->n32
550.0000 R_A111 500 6 203.0000 n0 n81 26 Y n0->n3->n18->n65->n70->n77->n81
555.0000 R_A232 500 2 20.0000 n49 n2 29 Y n49->n0->n2
557.0000 A134 1000 3 287.0000 n4 n3 25 N n4->n1->n0->n3
558.0000 A276 1000 2 4.0000 n46 n2 29 N n46->n45->n2
560.0000 R_A276 500 2 2.0000 n2 n46 29 Y n2->n45->n46
562.0000 R_A108 500 2 192.0000 n1 n78 26 Y n1->n0->n78
566.0000 R_A216 500 3 58.0000 n1 n86 29 Y n1->n4->n9->n86
568.0000 R_A226 500 2 55.0000 n1 n96 29 Y n1->n4->n96
569.0000 R_A217 500 3 60.0000 n1 n87 29 Y n1->n4->n76->n87
575.0000 R_A126 500 3 237.0000 n0 n96 26 Y n0->n1->n4->n96
583.0000 A287 1000 2 7.0000 n57 n2 29 N n57->n45->n2
587.0000 R_A287 500 2 4.0000 n2 n57 29 Y n2->n45->n57
594.0000 R_A113 500 4 205.0000 n0 n83 26 Y n0->n3->n37->n75->n83
594.0000 A286 1000 4 20.0000 n56 n49 29 N n56->n45->n2->n0->n49
594.0000 A293 1000 2 6.0000 n63 n2 29 N n63->n15->n2
595.0000 R_A125 500 2 204.0000 n0 n95 26 Y n0->n3->n95
595.0000 R_A122 500 3 205.0000 n0 n92 26 Y n0->n3->n37->n92
597.0000 R_A293 500 2 3.0000 n2 n63 29 Y n2->n15->n63
600.0000 R_A73 500 2 220.0000 n1 n43 26 Y n1->n0->n43
602.0000 R_A121 500 2 200.0000 n0 n91 26 Y n0->n3->n91
606.0000 R_A124 500 3 203.0000 n0 n94 26 Y n0->n3->n24->n94
607.0000 A296 1000 3 13.0000 n66 n2 29 N n66->n57->n45->n2
609.0000 A175 1000 3 257.0000 n45 n1 25 N n45->n2->n0->n1
611.0000 R_A123 500 2 207.0000 n0 n93 26 Y n0->n3->n93
613.0000 R_A128 500 3 205.0000 n0 n98 26 Y n0->n3->n84->n98
